Absinthe,wormwood liquor of a bright-green color
Acciaccatura,grace note; an embellishing note usually written in smaller size
Acedia,ennui; state of torpor or listlessness; spiritual apathy
Acervuline,aggregated; heaped up; bundled; collected or localized
Acidulous,somewhat acidic or sour in taste or manner; somewhat sarcastic
Acolyte,ranked clergy member; assistant in liturgical rites
Adroit,quick or skillful; adept in action or thought
Adumbrate,to explain faintly or opaquely outline; describe
Aeipathy,continued passion; unyielding disease
Aeneous,brassy; a type of golden-green
Aeonian,continuing forever; eternal
Aesthete,person who appreciates art or beauty
Aileron,small moveable platforms on the back of plane wings that alter air movements
Alienate,to estrange; to cause to become unfriendly or hostile
Aliment,something that nourishes; food; to supply with sustenance or food
Alleviate,to allay; to lessen in pain or negative occurrence or consequence
Alloquy,speaking to another; an address
Allure,attraction; temptation; to attract with something desirable
Alluvium,unconsolidated sediments carried by water
Amaranth,deep-hued purple; a type of purple flower; used as a metaphor for immortality
Amber,light brown; light yellow
Ambience,atmosphere; a particular environment or surrounding influence; aura
Ambrosia,the food of the gods; something overpoweringly delicious or fragrant
Amelus,individual exhibiting Amelia (the congenital absence of one or more limbs)
Amethyst,deep purple; deep-purple gemstone
Amnesia,partial or total loss of memory
Anemone,a flowery marine creature
Anxiolytic,preventing or reducing anxiety; antianxiety medication; tranquilizer
Aperitif,alcoholic drink taken as an appetizer before a meal
Aphelion,point indicated when the orbit of the earth is furthest from the sun
Aphesis,omission of sound or verbiage at the beginning of a word or phrase
Apocope,omission of sound or verbiage at the end of a word or phrase
Apophenia,the perception of or belief in connectedness among unrelated phenomena
Apoplexy,stroke; impairment or neuralgia from cerebral hemorrhage
Apostolicity,being of or contemporary with the Apostles in character
Apotheosis,deification; quintessence; exaltation to divine rank or stature
Apropos,appropriate of; appropriate
Aquarelle,painting done in transparent watercolors; watercolor; watercolor painting
Ascertain,to understand specific facts; to ferret out information
Ashlar,a squared block of building stone and dressed for outward placement
Astral,of or pertaining to the aster; stellar; star-shaped; pertaining to the stars
Asylum,refuge; a place to restore sanity or facilitate recovery
Atelier,an artist's studio; a place designated to create or perform art
Athanasy,quality of being deathless; immortality
Athenaeum,institution for the promotion of literary or scientific learning; phrontistery
Auburn,moderate reddish-brown
Aura,distinctive and pervasive quality or character; air; atmosphere; emanation
Avarice,extreme greed for wealth or material gain
Avenue,wide street or thoroughfare; roadway lined with tress
Azoth,mythologized universal solvent; panacea
Azuline,light blue; similar to a light blue
Azure,sky-blue or a light blue
Baccalaureate,bachelor's degree; valedictory speech
Banderilla,a decorated dart that is shot into the neck of the bull during a bull fight
Bayonet,blade adapted to fit the muzzle-end of a rifle and as a weapon in close combat
Bellicose,inclined or eager to fight; aggressively hostile; belligerent; pugnacious
Berceuse,lullaby; song used to put someone to sleep
Bibliophile,someone who loves (and usually collects) books; book collector
Bivouac,temporary military or squad encampment
Blaze,bright flame of fire; bright steady light or glare; hot gleam
Blossom,billowing; period or condition of flowering or growth
Bloviate,to make pompous or arrogant discourse
Boeotian,marked by stupidity and philistinism; crudely obtuse; loutish
Bordereau,a detailed note or memorandum of account
Bouleversement,reversal of fortunes; overturning; tumult
Bourgeoisie,the middle class; the middle class in Communist theory
Braggadocio,arrogant person; braggart; arrogant or boastful behavior
Brecciate,to form rock into breccia (rocks made of sharp fragments set in a grainy matrix)
Breeze,gentle push of the wind
Brevity,briefness; swiftness; evanescence
Bricolage,something made or put together using any materials that happen are available
Brio,joie de vivre; vivacity; alacrity; gusto; esprit
Burnish,to polish; the shine of a polished surface
Caballero,skilled horseman; gentleman; cavalier
Cabaret,a restaurant with live entertainment
Cadence,rhythmic flow of the sounds of language; lilt
Cadenza,musical or literary improvisation
Caesious,a type of bluish gray
Caliginous,misty; dim; obscure; dark; gloomy; tenebrous
Calypso,a type of rare orchid; a tribal and fervid dance
Cancrizans,backwards movement; crab walking; music moving backwards
Candelabra,pl. branched candlestick with several candles
Capricious,impulsive; whimsical; unpredictable
Caress,touch or stroke lightly in a loving or endearing manner
Cartesian,of or relating to the philosophy of Descartes
Cathismata,pl. one of the 20 divisions in a Greek Psalter
Cavil,to object or criticize adversely for trivial reasons; flimsy objection or qualm
Celadon,a type of pale green
Celeripedean,quick-footed; swift; fast-running
Celerity,speed; alacrity; briskness
Celesta,ancient musical instrument
Celestial,heavenly; of a higher plane; empyreal; pertaining to or of space
Cellular,pertaining to cells or their structure; containing cells
Cenotaph,an unmarked grave
Centennial,of or relating to a period of 100 years; occurring once every 100 years
Cerulean,a type of watery blue
Cessation,pause; interruption; ceasing; ending
Chalice,cup for consecrated wine; goblet
Chamois,goatlike antelope; type of cloth for cleaning
Champagne,a type of bubbling alcohol with fruity taste
Chandelier,ceiling-mounted light fixture or glass structure
